City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,77,75,5.0,RU,1690147348
202,kaduy,59.2,37.15,11.27,98,53,2.25,RU,1690147454
203,iquique,-20.2208,-70.1431,19.02,77,26,1.1,CL,1690147439
204,carnarvon,-24.8667,113.6333,15.67,33,0,8.86,AU,1690147455
205,klyuchi,52.2667,79.1667,19.0,69,94,1.29,RU,1690147455
206,laguna,38.421,-121.4238,39.4,33,0,2.57,US,1690147456
207,bafoulabe,13.8065,-10.8321,27.98,78,35,2.28,ML,1690147456
208,lagos,6.5833,3.75,23.9,95,100,2.8,NG,1690147456
209,coahuayana de hidalgo,18.7,-103.6583,33.68,48,85,2.52,MX,1690147456
210,cooma,-36.2333,149.1333,-1.18,95,3,0.72,AU,1690147456
211,port elizabeth,-33.918,25.5701,12.28,76,40,8.23,ZA,1690147265
212,ixtapa,20.7,-105.2,32.9,66,75,4.63,MX,1690147457
213,mildura,-34.2,142.15,2.26,88,0,3.84,AU,1690147457
214,soller,39.7662,2.7152,29.36,78,86,2.37,ES,1690147457
215,saudarkrokur,65.7461,-19.6394,10.22,97,100,0.37,IS,1690147457
216,punta arenas,-53.15,-70.9167,-0.29,81,7,3.15,CL,1690147222
217,spittal an der drau,46.8,13.5,19.14,95,33,1.5,AT,1690147458
218,port saint john's,-31.6229,29.5448,16.93,76,100,5.78,ZA,1690147458
219,ta`u,-14.2336,-169.5144,26.54,76,48,6.48,AS,1690147458
220,cam pha mines,21.0167,107.3,26.04,86,100,1.99,VN,1690147458
221,afaahiti,-17.75,-149.2833,26.93,74,66,4.21,PF,1690147395
222,kulhudhuffushi,6.6221,73.07,28.0,79,100,6.73,MV,1690147458
223,atherton,53.5237,-2.4935,14.47,95,100,0.45,GB,1690147459
224,broken hill,-31.95,141.4333,4.45,82,0,5.35,AU,1690147409
225,fiambala,-27.6871,-67.6149,14.59,39,28,3.29,AR,1690147459
226,galappo,-4.2667,35.85,15.53,80,43,2.2,TZ,1690147459
227,ihosy,-22.4,46.1167,14.57,97,5,1.72,MG,1690147459
228,sanctuary point,-35.1114,150.629,12.64,84,73,3.6,AU,1690147459
229,cukai,4.25,103.4167,25.97,92,97,1.86,MY,1690147459
230,gouda,52.0167,4.7083,19.43,85,75,7.2,NL,1690147459
231,demre,36.2537,29.9777,33.02,27,0,3.88,TR,1690147459
232,muynoq,43.7683,59.0214,30.67,29,0,2.95,UZ,1690147460
233,menongue,-14.6585,17.691,15.3,36,50,2.25,AO,1690147460
234,constantia,44.1833,28.65,18.38,62,0,1.24,RO,1690147272
235,camapua,-19.5314,-54.0439,27.22,34,14,1.55,BR,1690147460
236,rawai,7.7797,98.3253,28.06,80,79,7.82,TH,1690147460
237,ghardaia,32.4909,3.6735,35.64,8,0,3.09,DZ,1690147460
238,murmashi,68.8154,32.8115,9.23,100,100,3.13,RU,1690147461
239,newman,37.3138,-121.0208,43.19,6,100,4.04,US,1690147461
240,quellon,-43.1167,-73.6167,7.14,76,75,2.57,CL,1690147461
